Date,Close,Layoffs
03/03/2023,250.45,0
02/24/2023,253.25,0
02/16/2023,267.61,0
02/09/2023,262.61,0
02/02/2023,251.21,0
01/26/2023,242.69,0
01/19/2023,237.17,0
01/11/2023,227.8,10000
01/04/2023,236.81,0
12/27/2022,240.02,0
12/19/2022,249.66,0
12/12/2022,246.96,0
12/05/2022,251.08,0
11/28/2022,244.78,0
11/18/2022,241.63,0
11/11/2022,234.27,0
11/04/2022,223.21,0
10/28/2022,238.37,0
10/21/2022,238.16,0
10/14/2022,228.64,0
10/07/2022,243.97,0
09/30/2022,237.07,0
09/23/2022,240.96,0
09/16/2022,252.2,0
09/09/2022,258.08,0
09/01/2022,263.63,0
08/25/2022,279.0,0
08/18/2022,291.92,0
08/11/2022,284.34,0
08/04/2022,279.94,0
07/28/2022,263.25,0
07/21/2022,259.52,0
07/14/2022,258.53,0
07/07/2022,262.77,0
06/29/2022,261.64,0
06/22/2022,250.25,0
06/14/2022,254.99,0
06/07/2022,271.65,0
05/31/2022,266.63,0
05/23/2022,257.45,0
05/16/2022,261.6,0
05/09/2022,277.68,0
05/02/2022,281.01,0
04/25/2022,281.44,0
04/18/2022,283.06,0
04/08/2022,304.74,0
04/01/2022,311.54,0
03/25/2022,302.1,0
03/18/2022,290.73,0
03/11/2022,281.78,0
03/04/2022,295.94,0
02/25/2022,289.56,0
02/17/2022,296.15,0
02/10/2022,305.01,0
02/03/2022,308.54,0
01/27/2022,295.49,0
01/20/2022,304.52,0
01/12/2022,315.09,0
01/05/2022,331.16,0
12/29/2021,338.71,0
12/21/2021,326.11,0
12/14/2021,335.67,0
12/07/2021,328.74,0
11/30/2021,334.5,0
11/22/2021,340.57,0
11/15/2021,334.39,0
11/08/2021,335.32,0
11/01/2021,323.72,0
10/25/2021,308.74,0
10/18/2021,300.69,0
10/11/2021,293.16,0
10/04/2021,284.33,0
09/27/2021,297.29,0
09/20/2021,300.8,0
09/13/2021,298.07,0
09/03/2021,301.92,0
08/27/2021,301.62,0
08/20/2021,295.91,0
08/13/2021,288.88,0
08/06/2021,287.49,0
07/30/2021,286.64,0
07/23/2021,282.71,0
07/16/2021,280.52,0
07/09/2021,278.12,0
07/01/2021,269.53,0
06/24/2021,263.91,0
06/17/2021,258.88,0
06/10/2021,253.6,0
06/03/2021,247.88,0
05/26/2021,249.13,0
05/19/2021,244.51,0
05/12/2021,246.92,0
05/05/2021,250.16,0
04/28/2021,259.28,0
04/21/2021,259.56,0
04/14/2021,255.82,0
04/07/2021,244.99,0
03/30/2021,234.27,0
03/23/2021,234.34,0
03/16/2021,235.56,0
03/09/2021,229.41,0
03/02/2021,233.35,0
02/23/2021,239.35,0
02/16/2021,243.95,0
02/08/2021,241.84,0
02/01/2021,235.15,0
01/25/2021,224.25,0
01/15/2021,214.89,0
01/08/2021,217.15,0
12/31/2020,223.19,0
12/23/2020,221.11,0
12/16/2020,214.28,0
12/09/2020,214.14,0
12/02/2020,214.95,0
11/24/2020,211.57,0
11/17/2020,216.04,0
11/10/2020,218.56,0
11/03/2020,203.73,0
10/27/2020,213.85,0
10/20/2020,217.81,0
10/13/2020,216.1,0
10/06/2020,209.05,0
09/29/2020,205.66,0
09/22/2020,203.66,0
09/15/2020,206.98,0
09/08/2020,218.63,0
08/31/2020,223.73,0
08/24/2020,212.5,0
08/17/2020,208.09,0
08/10/2020,212.66,0
08/03/2020,206.31,0
07/27/2020,205.64,0
07/20/2020,206.96,0
07/13/2020,211.23,0
07/06/2020,204.72,0
06/26/2020,199.4,0
06/19/2020,193.64,0
06/12/2020,189.8,0
06/05/2020,184.64,0
05/29/2020,182.31,0
05/21/2020,184.16,0
05/14/2020,182.84,0
05/07/2020,180.06,0
04/30/2020,175.01,0
04/23/2020,173.28,0
04/16/2020,170.65,0
04/08/2020,160.6,0
04/01/2020,155.17,0
03/25/2020,142.26,0
03/18/2020,144.06,0
03/11/2020,158.6,0
03/04/2020,169.28,0
